date,country_code,country_name,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
2022-04-13,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-14,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-15,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-16,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-17,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-18,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-19,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-20,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-21,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-22,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-23,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-24,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-25,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-26,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-27,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-28,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-29,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-04-30,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-01,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-02,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-03,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-04,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-05,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-06,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-07,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-08,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-09,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-10,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-05-11,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
